PrincessName,FirstMovieTitle,FirstMovieYear,MovieRuntimeMinutes,NumberOfSongs,HasSoloSong,HasDuet,HairColor,EyeColor,OutfitPrimaryColor,OutfitStyleEra,IsRoyalByBirth,HasAnimalSidekick,SidekickType,HasMagicalPowers,MagicType,MainSetting,IsBasedOnRealStory,CulturalOrigin,SpeaksToAnimals,FightsVillainDirectly,RomanticSubplot,MarriedByEnd,VillainName,VillainType,IMDB_Rating,RottenTomatoesScore,BoxOfficeMillions,AvgScreenTimeMinutes,NumMerchItemsOnAmazon,GoogleSearchIndex2024,InstagramFanPages,TikTokHashtagViewsMillions,Top3Hashtags,IsIconic,PopularityScore
Merida,Merida's Adventure,2009,109,7,Yes,No,Blonde,Hazel,Green,Medieval,Yes,Yes,Fish,Yes,Healing,Castle,Yes,French,No,No,No,Yes,Villain of Merida,Witch,7.4,86,295,39,3768,40,130,930,#TeamMerida #LoveMerida #MeridaForever,No,85
Jasmine,Jasmine's Adventure,1943,88,1,Yes,Yes,Brown,Blue,Purple,Victorian,No,Yes,Dragon,No,Ocean,Castle,No,Chinese,Yes,No,Yes,No,Villain of Jasmine,Sorcerer,7.7,84,209,46,1224,27,65,726,#TeamJasmine #LoveJasmine #JasmineForever,Yes,58
Merida,Merida's Adventure,1993,74,2,Yes,Yes,Black,Hazel,Blue,Ancient,Yes,Yes,Horse,Yes,Ice,Desert,Yes,Polynesian,No,No,Yes,Yes,Villain of Merida,Witch,6.2,97,1072,33,3439,30,38,562,#TeamMerida #LoveMerida #MeridaForever,No,98
Rapunzel,Rapunzel's Adventure,1977,70,4,Yes,Yes,Black,Blue,Green,Medieval,No,No,None,Yes,Ocean,Ocean,Yes,Nordic,No,No,Yes,No,Villain of Rapunzel,Hunter,8.8,87,998,31,1780,87,54,235,#TeamRapunzel #LoveRapunzel #RapunzelForever,Yes,71
Cinderella,Cinderella's Adventure,1991,90,2,No,No,White,Grey,Yellow,Victorian,No,Yes,Dragon,No,Voice,Mountains,No,Native American,No,Yes,No,No,Villain of Cinderella,Witch,6.5,93,352,44,3589,81,234,288,#TeamCinderella #LoveCinderella #CinderellaForever,Yes,59
Mulan,Mulan's Adventure,1974,72,2,No,Yes,Red,Green,Green,Modern,No,No,None,Yes,Dragon,Castle,Yes,Chinese,No,No,No,Yes,Villain of Mulan,None,8.3,79,1222,39,2346,61,89,349,#TeamMulan #LoveMulan #MulanForever,No,78
Rapunzel,Rapunzel's Adventure,1984,86,3,Yes,No,Blonde,Hazel,Green,Medieval,No,No,Horse,No,Healing,Ocean,No,Scottish,No,Yes,No,No,Villain of Rapunzel,Stepmother,6.6,72,638,40,3836,45,67,164,#TeamRapunzel #LoveRapunzel #RapunzelForever,No,63
Pocahontas,Pocahontas's Adventure,1991,84,6,Yes,No,White,Brown,Pink,Victorian,No,No,Horse,No,Voice,Forest,Yes,French,No,Yes,Yes,No,Villain of Pocahontas,Stepmother,8.8,81,613,24,1342,84,144,389,#TeamPocahontas #LovePocahontas #PocahontasForever,Yes,95
Ariel,Ariel's Adventure,1952,97,6,Yes,Yes,Blonde,Brown,Pink,Victorian,Yes,Yes,Fish,Yes,None,Village,No,Native American,No,No,No,Yes,Villain of Ariel,None,7.3,71,157,52,4917,41,119,108,#TeamAriel #LoveAriel #ArielForever,No,53
Merida,Merida's Adventure,2012,89,2,Yes,No,White,Green,Blue,Victorian,Yes,Yes,Fish,No,None,Village,No,African-American,No,Yes,No,Yes,Villain of Merida,Witch,6.3,90,112,37,3168,55,118,146,#TeamMerida #LoveMerida #MeridaForever,No,97
Pocahontas,Pocahontas's Adventure,1954,79,3,Yes,Yes,Blonde,Brown,Green,Victorian,Yes,Yes,None,No,Voice,Mountains,Yes,Chinese,Yes,No,No,Yes,Villain of Pocahontas,Witch,8.7,88,494,58,161,74,93,772,#TeamPocahontas #LovePocahontas #PocahontasForever,No,78
Mulan,Mulan's Adventure,1992,77,4,Yes,No,Red,Hazel,Yellow,Victorian,No,Yes,Dragon,No,Voice,Ocean,Yes,African-American,No,No,No,No,Villain of Mulan,Warlord,6.7,68,637,49,3394,35,212,177,#TeamMulan #LoveMulan #MulanForever,No,92
Tiana,Tiana's Adventure,2015,100,5,Yes,No,Brown,Brown,Green,Ancient,No,Yes,Fish,No,Ocean,Desert,Yes,Scottish,Yes,Yes,Yes,No,Villain of Tiana,Hunter,6.2,95,1142,49,1002,68,158,741,#TeamTiana #LoveTiana #TianaForever,No,65
Raya,Raya's Adventure,1980,93,2,No,No,Blonde,Brown,Green,Modern,Yes,No,Fish,Yes,Healing,Mountains,No,Scottish,No,No,No,Yes,Villain of Raya,None,6.8,85,662,32,4659,92,273,832,#TeamRaya #LoveRaya #RayaForever,No,58
Mulan,Mulan's Adventure,2014,77,3,No,No,White,Grey,Purple,Victorian,Yes,No,Fish,Yes,None,Ocean,No,Scottish,No,Yes,No,Yes,Villain of Mulan,Witch,8.2,98,348,39,2496,48,51,831,#TeamMulan #LoveMulan #MulanForever,No,99
Tiana,Tiana's Adventure,1991,71,6,Yes,No,Black,Green,Blue,Medieval,No,No,None,Yes,Ice,Castle,Yes,African-American,Yes,No,No,Yes,Villain of Tiana,Sorcerer,7.0,71,823,21,3735,71,191,151,#TeamTiana #LoveTiana #TianaForever,Yes,74
Rapunzel,Rapunzel's Adventure,1982,78,6,No,Yes,Red,Blue,Yellow,Medieval,No,No,None,Yes,Healing,Desert,No,Arabian,Yes,Yes,Yes,No,Villain of Rapunzel,Stepmother,8.6,73,1265,54,156,61,275,20,#TeamRapunzel #LoveRapunzel #RapunzelForever,Yes,70
Cinderella,Cinderella's Adventure,1983,80,1,No,Yes,Blonde,Grey,Yellow,Victorian,No,Yes,Dragon,Yes,Voice,Village,Yes,French,Yes,Yes,Yes,Yes,Villain of Cinderella,None,7.9,97,893,39,517,70,166,24,#TeamCinderella #LoveCinderella #CinderellaForever,No,82
Jasmine,Jasmine's Adventure,1993,104,6,No,Yes,White,Blue,Blue,Modern,No,No,Dragon,Yes,Voice,Mountains,No,French,Yes,Yes,No,No,Villain of Jasmine,Stepmother,6.2,75,1239,60,4885,22,117,692,#TeamJasmine #LoveJasmine #JasmineForever,No,70
Cinderella,Cinderella's Adventure,2007,76,7,Yes,No,Brown,Blue,Pink,Modern,No,No,Horse,Yes,Healing,Mountains,Yes,Polynesian,No,Yes,No,Yes,Villain of Cinderella,Sorcerer,6.4,73,555,39,4255,62,218,551,#TeamCinderella #LoveCinderella #CinderellaForever,Yes,53
Belle,Belle's Adventure,1937,105,4,No,Yes,Black,Grey,Yellow,Ancient,Yes,No,Horse,Yes,Dragon,Desert,No,African-American,No,Yes,Yes,Yes,Villain of Belle,Witch,8.2,80,897,51,169,38,149,20,#TeamBelle #LoveBelle #BelleForever,Yes,81
Anna,Anna's Adventure,1991,105,2,Yes,Yes,Black,Green,Green,Victorian,Yes,No,None,Yes,Ice,Forest,No,Arabian,No,Yes,No,No,Villain of Anna,Witch,8.1,93,985,59,963,55,281,113,#TeamAnna #LoveAnna #AnnaForever,Yes,62
Mulan,Mulan's Adventure,2010,92,6,No,No,Red,Brown,Pink,Victorian,Yes,Yes,Fish,No,Dragon,Mountains,No,Nordic,Yes,Yes,No,Yes,Villain of Mulan,Warlord,6.1,87,1300,42,2414,80,43,36,#TeamMulan #LoveMulan #MulanForever,No,54
Merida,Merida's Adventure,1953,83,2,Yes,No,Brown,Blue,Pink,Modern,Yes,No,Fish,Yes,Voice,Castle,Yes,Chinese,Yes,Yes,Yes,No,Villain of Merida,Hunter,8.1,72,627,59,359,78,300,506,#TeamMerida #LoveMerida #MeridaForever,Yes,99
Jasmine,Jasmine's Adventure,1973,108,6,No,No,Red,Green,Pink,Victorian,No,No,None,No,None,Desert,Yes,African-American,Yes,No,Yes,No,Villain of Jasmine,Hunter,7.7,60,438,46,1821,99,55,928,#TeamJasmine #LoveJasmine #JasmineForever,Yes,52
Snow White,Snow White's Adventure,1952,82,1,Yes,No,White,Grey,Purple,Medieval,No,Yes,None,Yes,Voice,Desert,No,Polynesian,Yes,No,Yes,Yes,Villain of Snow White,Witch,7.9,63,1229,29,2067,33,120,892,#TeamSnow White #LoveSnow White #Snow WhiteForever,Yes,98
Rapunzel,Rapunzel's Adventure,1961,91,1,No,Yes,White,Green,Blue,Ancient,No,No,None,No,Healing,Castle,Yes,Arabian,No,Yes,No,Yes,Villain of Rapunzel,Warlord,6.7,99,1188,20,2463,21,133,688,#TeamRapunzel #LoveRapunzel #RapunzelForever,Yes,62
Elsa,Elsa's Adventure,1998,76,2,No,Yes,White,Green,Pink,Ancient,Yes,Yes,Fish,No,Dragon,Castle,Yes,Nordic,No,Yes,No,No,Villain of Elsa,Stepmother,8.3,83,320,20,1022,41,268,461,#TeamElsa #LoveElsa #ElsaForever,Yes,94
Jasmine,Jasmine's Adventure,1964,87,4,No,Yes,Red,Brown,Yellow,Ancient,No,Yes,Dragon,Yes,None,Castle,Yes,Arabian,No,Yes,No,Yes,Villain of Jasmine,Sorcerer,6.5,75,1142,24,2119,92,269,914,#TeamJasmine #LoveJasmine #JasmineForever,Yes,61
Jasmine,Jasmine's Adventure,1989,99,5,Yes,No,Blonde,Brown,Blue,Medieval,No,No,Dragon,No,Healing,Desert,Yes,Polynesian,No,No,Yes,Yes,Villain of Jasmine,Hunter,6.5,64,1096,56,4193,81,193,782,#TeamJasmine #LoveJasmine #JasmineForever,No,74
Mulan,Mulan's Adventure,2001,88,3,Yes,Yes,Red,Blue,Yellow,Ancient,No,No,None,Yes,Ocean,Mountains,Yes,African-American,Yes,No,Yes,Yes,Villain of Mulan,Hunter,6.6,99,451,40,3420,24,165,51,#TeamMulan #LoveMulan #MulanForever,No,84
Aurora,Aurora's Adventure,2001,97,4,No,No,White,Hazel,Blue,Medieval,Yes,Yes,Horse,Yes,Voice,Desert,Yes,Native American,No,No,No,No,Villain of Aurora,Stepmother,7.8,83,492,46,2066,83,175,763,#TeamAurora #LoveAurora #AuroraForever,Yes,90
Cinderella,Cinderella's Adventure,1956,110,2,No,Yes,Brown,Hazel,Pink,Medieval,No,No,None,Yes,Voice,Village,Yes,Scottish,Yes,No,Yes,Yes,Villain of Cinderella,Witch,7.6,85,1272,41,4824,41,26,777,#TeamCinderella #LoveCinderella #CinderellaForever,Yes,81
Rapunzel,Rapunzel's Adventure,1971,105,1,No,No,Blonde,Grey,Pink,Ancient,Yes,Yes,Horse,Yes,Healing,Forest,Yes,Chinese,Yes,No,Yes,No,Villain of Rapunzel,Warlord,8.5,63,633,47,3699,98,235,871,#TeamRapunzel #LoveRapunzel #RapunzelForever,No,50
Moana,Moana's Adventure,1968,80,6,Yes,Yes,White,Brown,Purple,Modern,No,Yes,Dragon,No,Ice,Village,No,Nordic,Yes,No,No,No,Villain of Moana,Warlord,6.3,82,1076,47,2021,87,255,850,#TeamMoana #LoveMoana #MoanaForever,Yes,100
Moana,Moana's Adventure,1996,97,7,Yes,No,Red,Hazel,Blue,Victorian,No,No,Fish,Yes,Voice,Forest,No,Chinese,Yes,Yes,Yes,No,Villain of Moana,None,8.5,66,376,26,1511,41,40,492,#TeamMoana #LoveMoana #MoanaForever,No,62
Merida,Merida's Adventure,1960,109,5,No,No,Brown,Grey,Blue,Medieval,No,No,Fish,Yes,Voice,Desert,No,Native American,Yes,Yes,Yes,Yes,Villain of Merida,Warlord,8.2,66,753,30,1446,44,205,647,#TeamMerida #LoveMerida #MeridaForever,No,79
Raya,Raya's Adventure,1952,89,6,Yes,No,Blonde,Hazel,Blue,Victorian,No,Yes,None,No,Ice,Forest,Yes,Arabian,No,Yes,Yes,No,Villain of Raya,None,6.8,97,678,57,4419,27,173,753,#TeamRaya #LoveRaya #RayaForever,No,55
Snow White,Snow White's Adventure,1949,85,1,Yes,Yes,Brown,Grey,Purple,Medieval,No,No,Dragon,No,Dragon,Village,Yes,Scottish,No,Yes,Yes,No,Villain of Snow White,Warlord,6.4,97,714,56,2741,85,210,54,#TeamSnow White #LoveSnow White #Snow WhiteForever,No,79
Snow White,Snow White's Adventure,1978,106,1,Yes,No,Blonde,Brown,Purple,Victorian,Yes,No,None,No,Ice,Mountains,Yes,Arabian,Yes,No,No,No,Villain of Snow White,Stepmother,7.7,83,374,60,2472,57,38,50,#TeamSnow White #LoveSnow White #Snow WhiteForever,Yes,66
Rapunzel,Rapunzel's Adventure,2019,106,7,No,No,Blonde,Brown,Blue,Ancient,No,Yes,Horse,Yes,None,Forest,No,Chinese,No,Yes,No,Yes,Villain of Rapunzel,Witch,7.4,65,1012,24,4247,67,71,967,#TeamRapunzel #LoveRapunzel #RapunzelForever,No,81
Pocahontas,Pocahontas's Adventure,1986,106,7,No,No,White,Brown,Yellow,Victorian,No,Yes,Dragon,No,Ocean,Forest,Yes,Nordic,No,Yes,Yes,Yes,Villain of Pocahontas,Sorcerer,6.3,94,119,32,1423,44,264,22,#TeamPocahontas #LovePocahontas #PocahontasForever,No,85
Mulan,Mulan's Adventure,1951,96,4,No,No,Red,Hazel,Green,Ancient,No,Yes,None,Yes,Dragon,Forest,No,French,No,No,No,No,Villain of Mulan,Hunter,7.5,93,157,42,218,69,292,432,#TeamMulan #LoveMulan #MulanForever,Yes,60
Moana,Moana's Adventure,2001,81,2,No,Yes,Brown,Blue,Purple,Modern,No,No,Fish,No,None,Ocean,Yes,Chinese,No,No,No,Yes,Villain of Moana,None,6.6,99,102,44,2702,83,254,589,#TeamMoana #LoveMoana #MoanaForever,No,72
Snow White,Snow White's Adventure,2000,107,6,No,No,White,Brown,Purple,Modern,Yes,No,Dragon,No,Ocean,Forest,No,Nordic,Yes,Yes,Yes,No,Villain of Snow White,Witch,8.9,67,421,55,1435,33,280,790,#TeamSnow White #LoveSnow White #Snow WhiteForever,No,57
Aurora,Aurora's Adventure,1937,98,5,No,Yes,Blonde,Blue,Green,Victorian,Yes,Yes,Fish,Yes,None,Ocean,No,Chinese,No,Yes,Yes,No,Villain of Aurora,Stepmother,8.8,85,985,55,1307,82,34,787,#TeamAurora #LoveAurora #AuroraForever,No,62
Tiana,Tiana's Adventure,1944,89,5,No,No,Red,Green,Blue,Ancient,No,No,None,No,Ocean,Ocean,No,Arabian,No,Yes,No,Yes,Villain of Tiana,Warlord,6.1,64,745,44,3203,50,258,809,#TeamTiana #LoveTiana #TianaForever,No,91
Aurora,Aurora's Adventure,1952,75,2,Yes,No,Black,Hazel,Green,Medieval,Yes,Yes,Dragon,No,Ocean,Desert,No,Nordic,Yes,Yes,Yes,Yes,Villain of Aurora,Hunter,6.5,94,605,22,3309,44,130,523,#TeamAurora #LoveAurora #AuroraForever,Yes,71
Pocahontas,Pocahontas's Adventure,1981,110,5,No,No,Red,Blue,Yellow,Victorian,No,Yes,Horse,No,Ice,Ocean,Yes,French,Yes,No,Yes,No,Villain of Pocahontas,Warlord,7.6,66,136,58,3171,71,128,506,#TeamPocahontas #LovePocahontas #PocahontasForever,Yes,69
Raya,Raya's Adventure,1943,108,7,No,No,Red,Blue,Purple,Ancient,No,Yes,None,No,Dragon,Castle,No,Chinese,No,Yes,No,No,Villain of Raya,None,7.7,65,674,27,3809,25,55,353,#TeamRaya #LoveRaya #RayaForever,Yes,84
Pocahontas,Pocahontas's Adventure,1983,88,3,Yes,No,Blonde,Grey,Blue,Victorian,Yes,No,None,Yes,None,Forest,No,African-American,No,Yes,Yes,Yes,Villain of Pocahontas,Witch,6.5,74,815,23,1288,47,22,896,#TeamPocahontas #LovePocahontas #PocahontasForever,No,64
Pocahontas,Pocahontas's Adventure,2013,70,4,No,No,Black,Green,Pink,Victorian,No,No,Horse,Yes,None,Ocean,Yes,African-American,No,No,No,No,Villain of Pocahontas,Sorcerer,8.9,73,325,40,3650,99,62,185,#TeamPocahontas #LovePocahontas #PocahontasForever,No,89
Pocahontas,Pocahontas's Adventure,1974,71,7,No,Yes,Red,Grey,Green,Victorian,Yes,Yes,None,No,None,Castle,No,Arabian,No,No,Yes,No,Villain of Pocahontas,None,6.3,82,202,32,2130,51,145,985,#TeamPocahontas #LovePocahontas #PocahontasForever,No,69
